ALTER,GESCHLECHT,RASSE1,RASSE1_MISCHLING,GEBURTSJAHR_HUND,GESCHLECHT_HUND,HUNDEFARBE
31-40,m,Rottweiler,,2015,w,braun/schwarz
71-80,w,Mischling klein,,2004,m,weiss/rot
41-50,w,Labradoodle,,2011,m,weiss
81-90,w,Mischling klein,,2008,m,braun
71-80,w,Labrador Retriever,,2003,m,schwarz
21-30,w,Mischling gross,,2015,m,tricolor
61-70,w,Malteser,,2015,w,weiss
41-50,m,Tibetan Spaniel,,2001,w,tricolor
41-50,w,Mischling klein,,2010,m,schwarz/weiss
71-80,m,Havaneser,,2015,m,tricolor
21-30,w,Französische Bulldogge,,2013,w,weiss/schwarz
41-50,w,Sibirischer Husky,,2013,w,braun/weiss
61-70,w,Mischling klein,,2011,w,braun
31-40,m,Schäfer,Mischling,2013,m,braun/schwarz
21-30,w,Shih Tzu,,2014,m,hellbraun/weiss
51-60,w,Zwergpudel,,2014,w,schwarz
81-90,w,Pinscher,Mischling,2001,w,braun
41-50,m,Podenco,Mischling,2008,w,braun
31-40,w,Mischling gross,,2006,m,rot/braun
31-40,m,Beagle,,2015,w,tricolor
21-30,w,Chihuahua,,2010,m,weiss
41-50,m,Mischling klein,,2014,w,weiss
21-30,w,Weimaraner,,2013,m,blau
51-60,w,Altdeutscher Schäfer,,2012,w,silbergrau
51-60,w,Australian Shepherd,,2015,w,red merle
21-30,w,Labrador Retriever,,2014,w,braun
41-50,w,Mischling klein,,2015,w,braun
31-40,m,Appenzeller Sennenhund,Mischling,2015,w,tricolor
31-40,m,Schweizer Sennenhund,,2016,w,tricolor
61-70,m,Grosspudel,,2015,m,schwarz
21-30,w,Mops,,2011,m,beige/schwarz
51-60,w,Mischling gross,,2005,m,braun
31-40,w,Parson Russell Terrier,,2015,w,tricolor
31-40,m,Parson Russell Terrier,,2014,m,weiss/rot
51-60,w,Yorkshire Terrier,,2015,w,choco
31-40,m,Französische Bulldogge,,2015,w,weiss
41-50,w,Schweizer Sennenhund,,2015,w,schwarz/braun/weiss
31-40,w,Deutscher Schäfer,,2014,w,grau
31-40,m,Labrador Retriever,,2005,w,schwarz
71-80,w,Malteser,,2008,m,weiss
31-40,w,Chihuahua,,2007,w,schwarz
51-60,w,Zwergpudel,,2015,w,schwarz
51-60,m,English Cocker Spaniel,,2009,m,braun schimmel
21-30,w,Dalmatiner,,2015,m,weiss/schwarz
21-30,w,Podenco,Mischling,2009,m,hellbraun
41-50,m,Briard,Mischling,2003,m,creme
21-30,w,Französische Bulldogge,,2014,w,weiss gestromt
61-70,m,Jack Russel Terrier,,2014,m,hellbraun/weiss
51-60,w,Malteser,,2015,m,weiss
51-60,m,Nackthund,,2012,w,schwarz
41-50,m,Zwergschnauzer,Mischling,2005,w,schwarz
41-50,w,Havaneser,,2014,w,weiss/beige
51-60,m,Spitz,Mischling,2011,w,creme
31-40,w,Barbet,,2015,m,schwarz
31-40,m,Zwergschnauzer,,2010,w,pfeffer/salz
31-40,m,Zwergschnauzer,,2012,w,schwarz/grau
41-50,w,Australien Kelpie,,2015,w,braun
41-50,m,Bernhardiner,,2016,m,weiss/rot
41-50,w,Yorkshire Terrier,,2009,m,blue/tan
31-40,w,Boxer,Mischling,2008,m,braun
41-50,w,Terrier,Mischling,2008,m,black/tan
41-50,w,Labrador Retriever,,2006,m,grau/schwarz
21-30,w,Französische Bulldogge,,2014,m,schwarz/weiss
41-50,w,Tibet Terrier,,2002,m,beige
51-60,w,Pekingese,,2001,w,schwarz/braun
41-50,w,Malinois,,2007,m,braun
41-50,m,Kooiker,,2010,m,rot/weiss
21-30,w,Pinscher,,2009,w,braun
41-50,w,American Bulldog,,2012,m,weiss/schwarz
31-40,w,Entlebucher Sennenhund,Mischling,2006,m,tricolor
31-40,w,Rehpinscher,,2008,m,schwarz/braun
21-30,w,Boston Terrier,,2014,m,braun gestromt
21-30,m,Chihuahua,,2014,m,schwarz
61-70,w,Prager Rattler,,2014,w,schwarz/braun
21-30,w,Malteser,Mischling,2015,m,weiss/braun
61-70,m,Toypudel,,2014,m,weiss
31-40,w,Chinese Powder Puff,,2010,m,weiss
41-50,m,Kleinspitz,,2004,m,beige/schwarz
71-80,w,Beagle,,2011,w,tricolor
41-50,m,Mischling klein,,2013,w,weiss/schwarz
31-40,m,Chihuahua,,2009,m,black/tan
21-30,w,Mischling gross,,2009,w,schwarz
61-70,w,Yorkshire Terrier,,2010,m,braun/grau
41-50,m,Yorkshire Terrier,,2010,m,braun/schwarz
51-60,w,Yorkshire Terrier,,2007,w,steelblue/tan
61-70,w,Saluki,,2015,w,creme
41-50,m,Pudel,,2010,m,beige
21-30,w,Mischling klein,,2014,w,braun/weiss
61-70,w,Foxterrier,,2015,w,tricolor
31-40,w,Chihuahua,,2010,w,weiss
21-30,w,Foxterrier,,2010,m,tricolor
31-40,m,Berner Sennenhund,,2015,w,schwarz/gold
31-40,w,Yorkshire Terrier,,2015,m,schwarz/braun
21-30,w,Mops,,2010,w,schwarz
41-50,m,Deutscher Schäfer,,2009,m,schwarz/braun
31-40,w,Chihuahua,,2010,w,gestromt
21-30,w,Jack Russel Terrier,,2005,m,tricolor
31-40,w,Chihuahua,,2007,w,braun
31-40,w,Chihuahua,,2007,w,beige/braun
21-30,w,Old Englische Bulldogge,,2010,m,braun/weiss
31-40,m,Mops,,2015,m,schwarz
51-60,w,Bichon frisé,,2015,w,weiss
41-50,m,Yorkshire Terrier,,2010,w,schwarz
61-70,w,Labrador Retriever,,2006,m,schwarz
41-50,w,Flat Coated Retriever,,2005,m,schwarz
71-80,w,Akita Inu,,2012,w,sable
21-30,m,Chihuahua,,2006,w,braun
31-40,w,Dogge,,2006,m,schwarz/braun/weiss
91-100,m,Vizsla,,2006,w,braun
31-40,w,Chihuahua,,2005,m,tricolor
21-30,w,Yorkshire Terrier,,2004,w,black/tan
31-40,m,Dalmatiner,,2011,w,weiss
31-40,w,Labrador Retriever,,2005,m,schwarz
51-60,w,Yorkshire Terrier,,2014,m,braun/grau
41-50,w,Bergamasker,Mischling,2002,m,braun/weiss/schwarz
91-100,w,Pudel,,2004,m,schwarz
71-80,w,English Cocker Spaniel,,2006,m,schwarz
31-40,w,Mischling klein,,2005,m,schwarz/weiss/braun
41-50,m,Zwergspitz,,2015,w,weiss
31-40,m,Magyar Viszla,,2015,m,gelb
71-80,w,Cocker Spaniel,,2009,w,zobel
61-70,w,Chihuahua,,2006,m,braun/schwarz
51-60,m,Mischling klein,,2006,m,gestromt
51-60,m,Mischling klein,,2002,w,hellbraun
21-30,w,Continental Bulldog,,2010,w,braun/weiss
71-80,w,Beagle,,2007,w,tricolor
61-70,w,Russischer Terrier,,2013,w,schwarz
41-50,m,Chow Chow,Mischling,2008,m,schwarz
41-50,w,Zwergpudel,,2000,m,schwarz
51-60,w,Mops,,2005,m,beige/braun
31-40,w,Mops,,2010,w,schwarz
61-70,w,Mischling klein,,2004,m,braun
31-40,w,Husky,,2006,w,braun
71-80,w,Teckel,,2007,m,blau
61-70,w,Malteser,,2007,w,weiss
61-70,w,Pinscher,,2006,m,schwarz/braun
71-80,m,Scottish Terrier,,2006,w,gelb
41-50,w,Pinscher,,2008,w,schwarz/braun
21-30,w,Golden Retriever,,2013,m,golden
41-50,w,Französische Bulldogge,,2015,m,fawn
41-50,w,Parson Russell Terrier,,2015,w,braun/weiss
31-40,m,Weimaraner,,2015,m,grau
21-30,m,Dalmatiner,,2016,m,schwarz/weiss
61-70,m,Schäfer,Mischling,2013,w,schwarz
51-60,w,Chihuahua,,2008,m,grau
31-40,w,Französische Bulldogge,,2006,m,schwarz/weiss
41-50,w,Königspudel,,2013,w,Harlekin
51-60,w,Labrador Retriever,,2004,m,schwarz
71-80,m,Appenzeller,Mischling,2007,w,tricolor
41-50,w,Spitz,,2015,m,rot/braun/weiss
71-80,m,Mops,,2008,m,beige
31-40,w,Yorkshire Terrier,,2006,w,black/tan
51-60,w,Mischling klein,,2014,w,schwarz
31-40,w,Bichon,,2013,w,weiss
61-70,w,Lagotto Romagnolo,,2009,w,beige/braun
41-50,m,Gordon Setter,,2016,m,black/tan
21-30,w,Französische Bulldogge,,2013,m,grau
71-80,m,Grosspudel,,2010,w,schwarz
31-40,m,Jack Russel Terrier,,2010,w,tricolor
31-40,w,Yorkshire Terrier,,2010,w,schwarz/braun
21-30,w,Golden Retriever,,2015,w,beige
51-60,w,Labrador Retriever,,2015,m,schwarz
61-70,w,Yorkshire Terrier,,2001,m,blue/tan
31-40,w,Labrador Retriever,,2003,m,braun
31-40,w,Labrador Retriever,,2003,m,braun
31-40,w,Mischling klein,,2007,w,schwarz/weiss/braun
51-60,m,Rauhaar Dackel,,2007,m,black/tan
61-70,m,Malteser,,2009,m,weiss
61-70,m,Dachshund,Mischling,2009,m,braun
31-40,w,Malteser,,2015,w,weiss
61-70,m,Mischling klein,,2002,w,schwarz/weiss
61-70,w,Prager Rattler,,2008,w,black/tan
51-60,w,Golden Retriever,,2007,w,golden
61-70,w,English Springer Spaniel,,2015,w,schwarz/weiss
51-60,w,Malteser,,2014,m,weiss
61-70,m,Labrador Retriever,,2015,m,choco
61-70,m,Labrador Retriever,,2016,m,choco
71-80,w,Australian Cattle Dog,,2009,m,blue
61-70,m,Malteser,,2015,w,weiss
31-40,m,Tibet Terrier,Mischling,2005,m,schwarz/grau
31-40,w,Vizsla,,2013,m,rot
41-50,w,Französische Bulldogge,,2010,w,gestromt
81-90,w,Pudel,,2008,w,weiss
51-60,w,Malteser,,2015,m,weiss
31-40,w,Shiba Inu,,2005,m,rot
21-30,w,Yorkshire Terrier,,2015,m,black/tan
41-50,m,Parson Jack Russell Terrier,,2007,m,weiss/braun
31-40,w,Parson Russell Terrier,,2010,m,braun/weiss
71-80,m,Chihuahua,,2009,w,weiss/beige
31-40,w,Zwergpudel,,2016,w,Harlekin
41-50,w,Pudel,,2009,w,apricot
71-80,w,Bolonka Zwetna,,2015,m,schwarz/weiss
31-40,w,Shetland Sheepdog,,2010,m,gold/weiss
31-40,w,Pomeranian,,2006,m,rot
61-70,m,Berner Sennenhund,Mischling,2003,w,rot
21-30,w,Mischling gross,,2012,m,weiss/schwarz
31-40,w,Lagotto Romagnolo,,2015,m,weiss
31-40,w,Toypudel,,2009,m,schwarz
31-40,w,Toypudel,,2009,m,schwarz
31-40,w,Zwergspitz,,2015,m,weiss/creme
31-40,w,Mischling gross,,2009,w,schwarz/weiss
51-60,w,Perro de Agua,Mischling,2014,m,schwarz/weiss
41-50,m,Jack Russel Terrier,,2006,m,tricolor
31-40,w,Malteser,,2015,w,weiss
51-60,w,Field Spaniel,,2005,w,braun/grau
41-50,m,Malamut,,2008,w,schwarz/grau/weiss
41-50,w,Zwergspitz,,2013,m,hellbraun
31-40,w,Mischling gross,,2009,m,beige
41-50,w,Lagotto Romagnolo,,2013,m,beige/braun
51-60,w,Scottish Terrier,Mischling,2007,w,schwarz
41-50,m,Pudel,,2009,w,beige
31-40,m,Shih Tzu,,2015,w,braun/weiss
61-70,w,Cairn Terrier,Mischling,2008,w,creme
61-70,m,Parson Jack Russell Terrier,,2009,w,weiss/rot
31-40,w,Mischling klein,,2015,w,braun
51-60,w,Chihuahua,,2009,w,rot/beige
61-70,w,Berner Sennenhund,,2015,w,tricolor
31-40,m,Labrador Retriever,,2013,m,braun/weiss
21-30,w,Mischling gross,,2011,w,hellbraun
31-40,w,Cocker Spaniel,Mischling,2010,m,schwarz/braun/weiss
21-30,w,Zwergpudel,,2007,w,harlekin
51-60,w,Boston Terrier,,2015,m,schwarz/weiss
31-40,w,Shih Tzu,,2007,m,gold/weiss
31-40,w,Malteser,,2009,m,weiss
31-40,w,Shih Tzu,,2014,w,schwarz/weiss
21-30,w,Mops,,2015,m,braun/schwarz
31-40,m,Yorkshire Terrier,,2009,m,braun/schwarz
31-40,m,Miniature Bull Terrier,,2015,m,weiss
61-70,w,Französische Bulldogge,,2006,w,schwarz/weiss
51-60,w,Pudel,,2009,m,goldbraun
41-50,w,Chihuahua,,2009,m,braun
51-60,w,Pekingese,,2015,w,hellbraun
21-30,w,Cavalier King Charles Spaniel,,2015,w,weiss/braun
41-50,m,Labrador Retriever,,2015,m,golden
61-70,w,Chihuahua,,2007,w,weiss/braun
41-50,m,Bordeaux Dogge,,2007,m,rot
71-80,w,Mops,,2015,m,schwarz
61-70,m,Dobermann,,2007,m,schwarz/braun
21-30,w,Chihuahua,,2009,w,schwarz/beige
41-50,w,Manchester Terrier,,2015,w,schwarz/grau
21-30,w,Boxer,,2011,m,braun
61-70,m,Cairn Terrier,,2009,w,rot/braun
41-50,w,Bolonka Zwetna,,2015,w,braun
61-70,m,Englische Bulldogge,,2013,w,beige/weiss
41-50,m,Labrador Retriever,,2008,w,schwarz/weiss/braun
31-40,w,Yorkshire Terrier,,2009,w,schwarz/braun/grau
21-30,m,Rhodesian Ridgeback,,2010,m,rot
51-60,w,Labrador Retriever,,2015,w,schwarz
41-50,w,Bergamasker,,2009,w,braun/schwarz/grau
31-40,w,Mischling klein,,2010,w,braun
31-40,w,Chihuahua,,2009,w,weiss
31-40,w,Chihuahua,,2015,m,weiss/braun
31-40,w,Yorkshire Terrier,,2008,w,braun/schwarz
31-40,w,Pinscher,,2014,m,braun
21-30,w,Mischling klein,,2011,w,weiss
41-50,w,Pudel,,2015,m,black/tan
21-30,w,Französische Bulldogge,,2015,w,schwarz/weiss
41-50,w,Labrador Retriever,,2015,w,choco
21-30,w,Cocker Spaniel,,2015,m,weiss/schwarz
31-40,m,Podenco Ibicenco,,2005,w,weiss
21-30,w,Havaneser,,2007,w,black/tan
41-50,w,Havaneser,,2015,m,zobel
71-80,w,Jack Russel Terrier,,2011,m,tricolor
21-30,w,Labradoodle,,2015,m,schwarz
31-40,m,Yorkshire Terrier,,2007,w,black/tan
41-50,w,Labrador Retriever,,2009,w,schwarz
51-60,w,Appenzeller,Mischling,2015,w,tricolor
41-50,m,Vorstehhund,,2015,m,weiss/braun
51-60,w,Flat Coated Retriever,,2009,w,schwarz/weiss
31-40,m,Shetland Sheepdog,,2014,m,schwarz/weiss
31-40,w,Malteser,,2015,m,weiss
21-30,w,Labrador Retriever,,2015,w,schwarz/weiss
61-70,w,Beagle,,2009,w,tricolor
61-70,m,Lhasa Apso,,2001,m,braun/weiss
31-40,m,Vorstehhund,,2015,w,braun/weiss
41-50,m,Rhodesian Ridgeback,,2016,m,red-wheaten
51-60,w,Labrador Retriever,,2004,m,gelb
51-60,w,English Setter,,2004,m,tricolor
31-40,w,Mischling klein,,2007,w,schwarz
31-40,w,Mischling klein,,2005,m,schwarz/grau
31-40,m,Whippet,,2014,w,rot/weiss
31-40,m,Whippet,,2012,m,beige
31-40,m,Yorkshire Terrier,,2009,m,blue/tan
51-60,m,Kooiker,,2015,w,weiss/braun
41-50,w,Malteser,,2015,m,weiss
31-40,w,Rhodesian Ridgeback,,2015,m,red-wheaten
21-30,w,Labrador Retriever,,2014,m,schwarz
71-80,w,Pinscher,,2005,m,braun
51-60,w,Golden Retriever,,2006,m,golden
Nov-20,m,Chihuahua,,2015,w,creme
51-60,w,Podenco,,2008,m,schwarz/weiss
31-40,w,Malteser,,2007,w,weiss
31-40,w,Jack Russel Terrier,,2004,w,tricolor
31-40,w,Toy Pudel,,2006,m,schwarz
41-50,w,Podenco,Mischling,2013,m,beige
31-40,m,Miniature Bull Terrier,,2015,w,schwarz/weiss
61-70,w,Schäfer,,2005,m,schwarz
21-30,w,Mischling klein,,2013,w,schwarz
51-60,w,Italienisches Windspiel,,2014,w,sable
31-40,w,Dalmatiner,,2007,m,weiss/schwarz
31-40,w,Chihuahua,,2009,w,tricolor
21-30,w,Papillon,,2006,w,tricolor
51-60,w,Parson Russell Terrier,,2006,w,weiss/rot
51-60,w,Mischling klein,,2003,m,gestromt
21-30,w,Deutscher Vorstehhund,,2015,w,braun schimmel
41-50,m,Mischling gross,,2015,w,braun/rot/weiss
31-40,w,Chihuahua,,2014,w,rot/weiss
31-40,w,Französische Bulldogge,,2009,w,fauve
51-60,w,Bolonka Zwetna,,2015,w,schwarz/beige
41-50,w,Malteser,,2014,m,weiss
31-40,w,Sheltie,,2009,w,tricolor
41-50,w,Shih Tzu,,2015,m,weiss/braun
21-30,m,Englische Bulldogge,,2015,m,weiss/braun
31-40,m,Mischling klein,,2005,m,weiss/braun
41-50,m,Mischling gross,,2006,w,beige/schwarz
61-70,m,Deutscher Schäfer,,2004,w,braun/schwarz
51-60,w,Bergamasker,,2015,w,schwarz/braun
31-40,w,Mischling gross,,2013,w,braun
41-50,w,Shiba Inu,,2015,w,black/tan
31-40,m,Chihuahua,,2015,m,schwarz/braun
31-40,w,Malteser,,2009,m,schwarz/beige
41-50,w,Yorkshire Terrier,,2015,m,black/tan
41-50,w,Beagle,,2015,m,tricolor
31-40,m,Zwergspitz,,2015,w,orange
41-50,w,Zwergschnauzer,,2005,m,pfeffer/salz
Nov-20,w,Französische Bulldogge,,2015,w,schwarz/weiss
41-50,w,English Cocker Spaniel,,2015,w,rot
51-60,m,Englische Bulldogge,,2015,w,hellbraun
41-50,w,Zwergschnauzer,Mischling,2015,m,schwarz/weiss
21-30,m,Terrier,Mischling,2012,w,braun/schwarz
41-50,m,Cavalier King Charles Spaniel,,2015,m,weiss/rot
21-30,w,Malteser,,2008,m,weiss
61-70,m,Wolfspitz,,2014,m,tricolor
31-40,w,Toy Pudel,,2004,w,weiss
21-30,w,Parson Russell Terrier,,2015,m,weiss/schwarz
41-50,w,Wäller,,2015,w,fauve
51-60,w,Pinscher,,2015,w,schwarz/braun
21-30,w,Mischling gross,,2014,m,schwarz
41-50,m,Englische Bulldogge,,2011,m,weiss
21-30,w,Mops,,2015,m,apricot
31-40,w,Chihuahua,,2009,w,hellbraun
51-60,w,Chihuahua,,2015,w,beige
71-80,w,Appenzeller,Mischling,2003,w,tricolor
21-30,m,Jack Russel Terrier,,2014,m,weiss/braun
61-70,m,Mischling klein,,2008,m,schwarz/weiss
41-50,w,Grosspudel,,2015,m,silber
41-50,w,Zwergpudel,,2008,w,schwarz/braun
51-60,w,Jack Russel Terrier,,2015,m,tricolor
51-60,w,Mischling klein,,2004,w,beige
61-70,w,Mischling klein,,2015,w,tricolor
31-40,w,Mischling klein,,2015,m,schwarz/braun
31-40,w,Golden Retriever,,2002,w,gelb
31-40,w,Shih Tzu,,2015,m,rot
41-50,m,Lagotto Romagnolo,,2009,m,weiss/braun
51-60,w,Lagotto Romagnolo,Mischling,2007,m,weiss/grau
21-30,w,Magyar Viszla,,2014,w,gelb
31-40,w,Pinscher,,2015,m,schwarz/braun
31-40,w,Spanischer Windhund,,2010,m,grau
21-30,w,Lagotto Romagnolo,,2015,m,braun
41-50,w,Bolonka Zwetna,,2015,m,schwarz
31-40,w,Labrador Retriever,,2005,m,schwarz
31-40,w,Dachshund,,2010,m,schwarz/braun
51-60,w,Labrador Retriever,,2015,w,braun
61-70,m,Pekingese,Mischling,2015,w,schwarz
31-40,w,Malteser,,2008,w,weiss
61-70,w,Malteser,,2015,w,weiss
21-30,w,Mischling gross,,2015,w,weiss/braun
41-50,m,Pekingese,,2015,w,tricolor
71-80,m,Spaniel,Mischling,2004,w,braun/beige
51-60,w,Labrador Retriever,,2015,m,braun
31-40,m,Jack Russel Terrier,,2015,w,schwarz/weiss/braun
61-70,m,Kangal,,2014,w,beige/schwarz
31-40,w,Border Collie,,2015,m,schwarz/weiss
31-40,w,Mischling gross,,2008,w,tricolor
21-30,w,Jack Russel Terrier,,2015,m,braun/schwarz
41-50,w,Beagle,,2009,m,tricolor
31-40,m,Old Englische Bulldogge,,2012,w,tricolor
21-30,w,Chihuahua,,2009,w,beige/weiss
61-70,w,Golden Retriever,,2008,m,golden
21-30,w,Magyar Viszla,,2015,w,hellbraun
31-40,w,Terrier,,2012,w,beige
21-30,w,Boerboel,,2007,m,rotbraun
61-70,m,West Highland White Terrier,,2004,m,weiss
51-60,m,Chihuahua,,2012,w,braun
51-60,m,English Setter,,2007,m,weiss/schwarz
41-50,m,Mischling klein,,2007,w,grau/schwarz
31-40,w,Yorkshire Terrier,,2010,w,black/tan
21-30,m,Französische Bulldogge,,2015,m,beige/schwarz
51-60,w,Zwergpinscher,,2008,w,schwarz/braun
51-60,w,Yorkshire Terrier,,2008,m,braun/schwarz
21-30,w,Französische Bulldogge,Mischling,2015,m,gestromt
41-50,m,Parson Russell Terrier,,2015,m,weiss/braun
71-80,w,Labrador Retriever,,2015,m,braun
41-50,w,Chihuahua,,2011,w,braun/weiss
41-50,w,Spitz,,2006,m,braun
41-50,w,Chihuahua,Mischling,2010,w,rot/weiss
41-50,m,King Charles Spaniel,,2014,w,tricolor
31-40,m,Jack Russel Terrier,,2008,m,weiss/braun
31-40,w,Yorkshire Terrier,,2008,w,steelblue
31-40,w,Australian Cattle Dog,,2009,w,rot
51-60,w,Mischling klein,,2007,w,braun/weiss
31-40,w,Chihuahua,,2007,m,blue/merle
31-40,w,Labrador Retriever,,2006,w,gelb
41-50,m,Chihuahua,,2008,w,weiss/beige
41-50,m,Luzerner Laufhund,,2008,w,tricolor
51-60,m,Labrador Retriever,,2007,m,blondfarben
41-50,w,Zwergpinscher,,2007,w,schwarz/braun
31-40,w,Pekingese,,2008,w,braun
61-70,m,Malteser,,2008,m,weiss
21-30,w,Zwergspitz,,2015,w,orange
61-70,m,Parson Russell Terrier,,2005,m,weiss/braun
21-30,m,Französische Bulldogge,,2015,m,beige
41-50,w,Chihuahua,Mischling,2004,w,beige/braun
41-50,w,Chihuahua,Mischling,2009,m,beige/braun
51-60,m,Labrador Retriever,,2015,m,blondfarben
31-40,w,Corgie,Mischling,2007,m,braun
21-30,w,Mischling klein,,2015,m,beige/weiss
51-60,m,Dalmatiner,,2015,m,weiss/schwarz
21-30,w,Mischling klein,,2012,w,hell-/dunkelbraun
31-40,w,Chihuahua,,2009,m,braun/weiss
61-70,m,Shih Tzu,,2004,w,schwarz/weiss
31-40,w,Appenzeller Sennenhund,Mischling,2010,m,tricolor
41-50,w,Finnischer Lapphund,,2015,w,hellbraun/weiss
21-30,w,Mischling gross,,2010,m,schwarz
41-50,w,Podenco,Mischling,2009,m,braun
41-50,w,Golden Retriever,,2005,w,golden
41-50,w,Cavalier King Charles Spaniel,,2011,m,braun/weiss
31-40,w,Mischling klein,,2014,m,tricolor
21-30,w,Mittelspitz,,2014,m,schwarz schimmel
21-30,m,Beagle,,2014,m,tricolor
31-40,m,Yorkshire Terrier,,2007,w,tricolor
71-80,w,Yorkshire Terrier,,2008,m,grau
41-50,m,Shiba Inu,,2008,w,beige/rot
21-30,w,West Highland White Terrier,,2008,w,weiss
51-60,w,Chihuahua,,2009,m,hellbraun/weiss
31-40,m,Deutscher Schäfer,,2009,m,schwarz/braun
31-40,w,Papillon,,2009,m,tricolor
21-30,w,Chihuahua,,2009,w,braun gestromt
21-30,w,Chihuahua,,2014,m,braun/beige
41-50,w,Nova Scotia Duck Tolling Retriever,,2009,m,rotbraun/weiss
41-50,w,Yorkshire Terrier,,2007,m,schwarz/braun
21-30,w,Terrier,Mischling,2015,w,hellbraun
21-30,m,Pomeranian,,2015,m,grau/weiss/schwarz
61-70,w,Chihuahua,,2011,m,sable
41-50,m,Beagle,,2014,m,tricolor
41-50,m,Bologneser,,2016,w,weiss
31-40,w,Terrier,Mischling,2009,m,braun/weiss
21-30,w,Chihuahua,,2010,w,black/tan
31-40,w,Chihuahua,,2010,w,hellbraun
61-70,w,Zwergdackel,,2010,m,saufarben
51-60,w,Husky,,2010,m,schwarz/weiss
31-40,w,Mischling klein,,2008,m,schwarz/braun
31-40,m,Labrador Retriever,,2011,w,schwarz
41-50,w,Französische Bulldogge,,2015,w,weiss/schwarz
31-40,w,Mischling gross,,2015,m,gestromt
31-40,m,Mischling klein,,2012,m,weiss/braun
31-40,w,Golden Retriever,,2012,m,golden
21-30,w,Französische Bulldogge,,2012,m,schwarz/weiss
31-40,w,Golden Retriever,,2013,m,golden
41-50,w,Berner Sennenhund,,2009,m,tricolor
31-40,w,Yorkshire Terrier,,2013,w,blondfarben
21-30,m,Yorkshire Terrier,,2013,m,grau/braun
31-40,m,Malteser,,2015,m,weiss
71-80,m,Labrador Retriever,,2015,w,braun
31-40,m,Schäfer,Mischling,2011,w,schwarz
31-40,w,Sibirischer Husky,,2005,m,schwarz/weiss
51-60,m,Labrador Retriever,,2015,w,schwarz
21-30,w,Labrador Retriever,,2011,m,schwarz
21-30,m,Französische Bulldogge,,2015,m,weiss/schwarz
31-40,w,Mischling klein,,2015,m,schwarz/weiss
51-60,m,Lagotto Romagnolo,,2015,m,braun
21-30,w,Yorkshire Terrier,,2010,m,braun/grau
Nov-20,w,Chihuahua,,2015,w,creme
51-60,w,Chihuahua,,2010,w,weiss/schwarz
31-40,w,Riesenschnauzer,,2013,w,schwarz
41-50,w,Beagle,,2015,m,tricolor
21-30,m,Samojede,,2015,m,weiss
21-30,w,Yorkshire Terrier,,2011,m,braun/schwarz
31-40,m,Mischling klein,,2013,m,beige
21-30,w,Border Collie,,2014,w,schwarz/weiss
21-30,w,Jagdhund,Mischling,2016,m,weiss/schwarz
81-90,w,Papillon,,2009,m,rot/weiss
51-60,w,Chihuahua,,2015,m,beige
21-30,m,Bolonka Zwetna,,2015,w,braun/beige
21-30,w,Australian Shepherd,,2011,w,braun/weiss
61-70,w,Berger des Pyrenées,,2015,w,hellbraun
41-50,w,Labradoodle,,2015,m,beige
41-50,m,Havaneser,,2015,w,tricolor
21-30,m,Französische Bulldogge,,2014,m,braun
51-60,m,Französische Bulldogge,,2015,w,schwarz/weiss
41-50,w,Mudi,,2005,w,schwarz
31-40,m,Labrador Retriever,,2015,w,blondfarben
21-30,w,Französische Bulldogge,,2015,w,schwarz
41-50,m,Mischling klein,,2011,w,beige
41-50,m,Schäfer,,2007,m,weiss
41-50,w,Spitz,,2014,m,rot
Nov-20,w,Zwergpinscher,,2015,w,braun
21-30,w,Chihuahua,,2012,w,black/tan
31-40,m,Cocker Spaniel,,2014,w,rot
51-60,w,Jack Russel Terrier,,2002,m,tricolor
41-50,w,Bolonka Zwetna,,2015,w,schwarz/grau
31-40,w,Beagle,,2013,w,tricolor
21-30,w,Chihuahua,,2014,w,blau
31-40,m,Foo Dog gross,,2015,m,schwarz/beige
31-40,w,Rhodesian Ridgeback,,2008,m,red-wheaten
21-30,w,Labrador Retriever,,2004,m,schwarz/weiss
21-30,m,Labrador Retriever,,2015,w,schwarz
41-50,w,Jack Russel Terrier,Mischling,2012,w,tricolor
61-70,w,Mittelpudel,,2015,w,weiss
31-40,w,Mischling klein,,2012,w,schwarz/beige
21-30,w,Mops,,2015,m,beige
41-50,m,Deutscher Pinscher,,2015,m,schwarz/rot
31-40,m,Jack Russel Terrier,,2015,m,weiss/braun
21-30,m,Mischling gross,,2014,m,schwarz/braun/weiss
31-40,m,Beagle,,2012,w,tricolor
41-50,w,Dackel,,2015,w,tricolor
21-30,w,Jack Russel Terrier,,2015,m,braun/schwarz
61-70,m,Mischling gross,,2006,m,beige
41-50,w,Mischling klein,,2015,w,hellbraun
71-80,m,Volpino,Mischling,2014,m,braun/schwarz
21-30,w,Cocker Spaniel,,2015,w,rot
31-40,w,Zwergpudel,,2015,m,schwarz
61-70,m,West Highland White Terrier,,2015,m,weiss
21-30,m,Chihuahua,,2015,w,hellbraun/weiss
21-30,w,Zwergspitz,,2015,w,orange
21-30,m,Jack Russel Terrier,,2015,m,weiss/schwarz/braun
21-30,m,Englische Bulldogge,,2015,w,weiss/braun
21-30,w,Havaneser,,2010,m,beige
31-40,w,Boston Terrier,,2015,w,weiss gestromt
71-80,w,Mischling klein,,2008,w,braun/schwarz
21-30,w,Yorkshire Terrier,,2013,m,grau/braun
