ALTER,GESCHLECHT,RASSE1,RASSE1_MISCHLING,GEBURTSJAHR_HUND,GESCHLECHT_HUND,HUNDEFARBE
71-80,w,Boxer,,2011,w,gelb
51-60,w,Parson Jack Russell Terrier,,2011,w,tricolor
51-60,m,Malteser,Mischling,2005,w,weiss/braun
71-80,m,Zwergpudel,,2011,m,schwarz
81-90,w,Pudel,,2005,w,schwarz
71-80,m,Schweizer Niederlaufhund,,2007,m,weiss/orange
61-70,w,English Cocker Spaniel,,2011,m,schwarz/weiss
51-60,m,Border Terrier,,2010,w,red grizzle
51-60,m,Border Terrier,,2006,w,schwarz/braun
51-60,w,Windspiel,,2004,w,beige/weiss
81-90,w,Jack Russel Terrier,,2002,m,weiss/schwarz
81-90,m,Mops,,2009,m,gestromt
51-60,m,Mischling klein,,2013,w,schwarz/braun
81-90,w,Mischling klein,,2008,w,weiss/beige
71-80,w,Labrador Retriever,,2009,m,schwarz
71-80,w,Bolonka Zwetna,,2011,m,weiss
71-80,m,Labrador Retriever,,2004,w,schwarz
71-80,m,Labrador Retriever,,2009,w,braun
71-80,m,Labrador Retriever,,2012,w,schwarz
81-90,w,West Highland White Terrier,,2004,w,weiss
81-90,w,Deutscher Schäfer,,2004,w,schwarz/gelb
71-80,w,Irish Terrier,,2005,w,rot
61-70,m,Parson Russell Terrier,,2002,w,weiss/braun
61-70,m,Labrador Retriever,,2016,w,schwarz
71-80,w,Tervueren,,2005,w,braun/schwarz
81-90,m,Mischling gross,,2009,w,schwarz
81-90,w,Berner Sennenhund,,2013,w,tricolor
81-90,w,Berner Sennenhund,,2010,w,schwarz/braun/weiss
61-70,m,Golden Retriever,,2010,m,blondfarben
41-50,m,Belgischer Schäfer,,2015,m,schwarz
61-70,m,Groenendael,,2009,w,schwarz
71-80,m,Pointer,,2008,w,weiss
51-60,w,English Springer Spaniel,,2012,m,schwarz/weiss
61-70,w,Chihuahua,,2014,w,schwarz/beige
81-90,w,Malteser,,2003,m,weiss
71-80,w,Bergamasker,Mischling,2009,m,tricolor
41-50,w,Toypudel,,2016,m,rot
41-50,w,Toypudel,,2010,m,weiss
51-60,w,Mischling klein,,2007,w,braun/weiss
51-60,w,Podenco,,2009,w,braun/schwarz
61-70,m,Dackel,,2012,w,rot
61-70,m,Mischling klein,,2007,m,rehbraun
61-70,w,Jack Russel Terrier,,2004,m,weiss/schwarz/braun
61-70,w,Parson Terrier,Mischling,2005,m,beige
71-80,w,Basset Griffon vendéen,,2005,w,zobel/weiss
51-60,w,Golden Retriever,,2010,w,blondfarben
71-80,w,Rauhaar Dackel,,2016,m,schwarz/rot
71-80,m,Mischling klein,,2011,w,braun
61-70,w,West Highland White Terrier,,2012,w,weiss
81-90,w,Labrador Retriever,,2001,w,schwarz
61-70,w,Epagneul Breton,,2015,m,weiss/orange
71-80,m,Appenzeller Sennenhund,,2008,m,tricolor
71-80,m,Appenzeller Sennenhund,,2011,w,tricolor
51-60,w,Golden Retriever,,2009,m,golden
61-70,w,Beagle,,2012,m,tricolor
61-70,m,Yorkshire Terrier,,2014,w,schwarz/braun
71-80,w,Shih Tzu,,2009,m,tricolor
71-80,w,Malteser,,2013,w,weiss
71-80,w,Toypudel,,2013,w,schwarz
51-60,w,Dalmatiner,Mischling,2012,m,schwarz/weiss
71-80,m,Beagle,,2006,w,tricolor
61-70,m,Labrador Retriever,,2002,w,schwarz/weiss
51-60,w,Labradoodle,,2015,w,schwarz
61-70,m,Mischling klein,,2003,w,blondfarben
61-70,m,Nova Scotia Duck Tolling Retriever,,2016,w,rot/weiss
71-80,w,Mops,,2006,m,beige
71-80,w,Mops,,2008,w,beige
51-60,w,Galgo Español,,2014,w,braun gestromt
71-80,w,Cocker Spaniel,,2005,w,weiss/orange
81-90,m,West Highland White Terrier,,2005,w,weiss
61-70,w,Deutscher Boxer,,2011,w,hirschrot
61-70,m,Pinscher,Mischling,2004,w,tricolor
81-90,m,Malteser,,2009,w,weiss
41-50,w,Lagotto Romagnolo,,2011,w,braun
51-60,w,Mischling klein,Mischling,2015,w,tricolor
61-70,m,Border Collie,Mischling,2016,w,tricolor
71-80,w,Golden Retriever,,2006,w,blondfarben
41-50,w,Tervueren,,2003,w,braun
41-50,w,Groenendael,,2010,w,schwarz
61-70,w,Mischling klein,,2011,w,schwarz/braun
71-80,w,Jack Russel Terrier,,2003,w,tricolor
71-80,w,Rhodesian Ridgeback,,2009,m,rot
91-100,m,Coton de Tulear,,2009,w,weiss
51-60,w,Riesenschnauzer,,2012,w,schwarz
51-60,w,Spinone,,2016,w,braun schimmel
71-80,w,Mops,,2007,m,schwarz
71-80,m,Hovawart,,2014,m,schwarz
61-70,w,Mischling klein,,2012,m,tricolor
61-70,w,Dachshund,,2010,m,schwarz gestromt
71-80,w,Border Collie,Mischling,2001,w,schwarz/braun/weiss
61-70,w,Scottish Terrier,,2013,m,schwarz
61-70,w,Scottish Terrier,,2006,m,brindle
61-70,w,Mischling klein,,2016,w,beige/rot
81-90,w,Tervueren,,2005,w,braun
61-70,w,Parson Jack Russell Terrier,,2000,w,weiss/braun
41-50,w,Dackel,,2011,m,braun/weiss
41-50,w,Mischling klein,,2008,w,tricolor
81-90,m,Zwergpudel,,2003,m,braun
61-70,w,Zwergrauhaardackel,,2009,w,saufarben
61-70,w,Labrador Retriever,,2009,m,schwarz
61-70,w,Labrador Retriever,,2005,m,schwarz
51-60,w,Mops,,2011,m,schwarz
51-60,w,Labrador Retriever,,2004,m,gold/sable
71-80,w,Labrador Retriever,,2009,w,braun
51-60,w,Mischling klein,,2008,w,braun/weiss
61-70,w,Labrador Retriever,,2004,m,braun
91-100,w,Foxterrier,,2003,m,saufarben
81-90,w,Dackel,,2002,m,rot
61-70,w,Golden Retriever,,2013,w,golden
61-70,w,Mischling klein,,2009,m,braun
61-70,w,Mischling klein,,2011,w,rot/braun
71-80,w,Deutscher Schäfer,,2011,m,schwarz/gelb
51-60,w,Phalène,,2016,w,tricolor
71-80,m,Australian Shepherd,Mischling,2009,m,blue/merle
51-60,w,Französische Bulldogge,,2014,w,beige/schwarz
31-40,m,Mischling klein,,2010,w,schwarz/braun
71-80,m,Mittelspitz,,2009,w,schwarz/weiss
81-90,w,Mops,,2015,m,beige
51-60,w,Airedale Terrier,,2013,w,black/tan
71-80,m,Airedale Terrier,,2008,w,schwarz/beige
61-70,w,Collie,,2009,m,tricolor
51-60,m,Deutscher Schäfer,,2011,w,schwarz/gelb
51-60,m,Yorkshire Terrier,,2013,m,steelblue/tan
61-70,w,Italienisches Windspiel,,2006,w,schwarz
51-60,m,Jack Russel Terrier,,2011,w,braun/weiss
61-70,w,Beagle,,2004,m,tricolor
81-90,m,Toypudel,,2002,w,schwarz
81-90,m,Toypudel,,2004,w,silber
71-80,w,Cairn Terrier,,2012,m,rot/braun
51-60,m,Miniature Bull Terrier,,2010,m,rot/weiss
81-90,m,Terrier,Mischling,2001,m,schwarz/weiss
71-80,w,Chihuahua,,2009,w,rot
71-80,w,Mischling klein,,2014,w,schwarz
71-80,m,Deutscher Schäfer,,2011,m,schwarz/braun
51-60,w,Irish Terrier,,2014,w,rot/braun
51-60,w,Tibet Terrier,,2004,m,weiss/schwarz
91-100,m,Labrador Retriever,Mischling,2005,w,schwarz
61-70,m,Labrador Retriever,,2003,m,schwarz
81-90,w,Cocker Spaniel,,2010,w,braun/weiss
71-80,w,Yorkshire Terrier,Mischling,2006,w,schwarz/braun
71-80,w,Yorkshire Terrier,,2007,m,blue/tan
71-80,w,Galgo Español,,2008,w,gestromt
81-90,m,Alpenländische Dachsbracke,,2007,m,hirschrot
71-80,w,Sheltie,,2008,w,blue/merle
51-60,w,Malteser,,2010,w,weiss
31-40,w,Papillon,,2002,w,schwarz/braun/weiss
61-70,w,Terrier,Mischling,2005,w,tricolor
71-80,w,Golden Retriever,,2006,w,golden
71-80,w,Windspiel,,2011,m,steelblue
71-80,w,Italienisches Windspiel,,2011,w,schwarz/weiss
81-90,w,Rottweiler,Mischling,2008,m,schwarz/braun
51-60,w,Mittelpudel,,2016,w,schwarz
61-70,w,Greyhound,,2014,w,schwarz
41-50,m,Bearded Collie,,2003,m,braun/weiss
41-50,m,Bearded Collie,,2009,m,blau/weiss
41-50,m,Bearded Collie,,2006,m,grau/weiss
41-50,m,Bearded Collie,,2010,w,braun/weiss
81-90,m,Pudel,,2005,w,silber
51-60,w,Mischling gross,,2014,w,schwarz/braun
81-90,w,Lagotto Romagnolo,,2012,w,braun
51-60,w,Bearded Collie,,2015,m,braun/weiss
51-60,w,Bobtail,,2004,w,grau
81-90,w,Yorkshire Terrier,,2008,w,silber/braun
71-80,w,Border Collie,,2009,w,tricolor
71-80,w,Appenzeller,,2003,w,schwarz/weiss/braun
71-80,m,Border Collie,,2006,w,schwarz
71-80,m,Spinone,,2002,w,weiss
71-80,w,Jack Russel Terrier,Mischling,2007,w,schwarz/braun
61-70,w,Bolonka Zwetna,,2012,w,black/tan
71-80,w,Dackel,Mischling,2008,w,braun/weiss
71-80,w,Mischling klein,,2005,w,schwarz/braun
81-90,m,Labrador Retriever,,2007,m,schwarz
71-80,w,Mischling klein,,2004,m,weiss
71-80,w,Rauhaar Dackel,,2007,w,saufarben
41-50,w,Beagle,,2016,w,tricolor
41-50,w,Beagle,,2012,w,tricolor
71-80,w,Berner Sennenhund,,2008,m,schwarz/braun/weiss
71-80,w,Border Terrier,,2002,w,red grizzle
71-80,w,Border Terrier,,2015,m,blue/tan
81-90,w,Cairn Terrier,,2011,m,braun
51-60,w,Mops,,2013,w,beige
71-80,w,Yorkshire Terrier,,2006,w,blue/tan
71-80,w,Yorkshire Terrier,,2004,m,schwarz/braun/weiss
61-70,w,Jack Russel Terrier,,2011,m,weiss/braun
71-80,w,Labrador Retriever,,2009,w,schwarz/weiss
71-80,m,Katalanischer Hirtenhund,,2004,w,braun schwarz gestromt
51-60,w,Labrador Retriever,,2009,w,schwarz/braun
71-80,w,Mischling gross,,2015,w,weiss/braun
81-90,w,Pudel,Mischling,2003,m,grau
61-70,w,Mittelpudel,,2004,m,schwarz
71-80,w,Spaniel,,2016,m,braun/weiss
81-90,w,Cairn Terrier,,2012,w,schwarz/braun
71-80,m,Podenco,,2011,w,rehbraun
71-80,m,Parson Terrier,,2010,m,tricolor
61-70,w,Schweizer Sennenhund,,2012,w,tricolor
71-80,w,Bolonka Zwetna,,2011,w,braun/weiss/schwarz
71-80,w,Afghane,,2013,w,silber
71-80,w,Mischling klein,,2004,w,rot/schwarz
41-50,w,Labrador Retriever,,2012,m,schwarz
71-80,w,Labrador Retriever,Mischling,2004,w,schwarz
91-100,w,Mischling klein,,2008,m,dunkel gestromt
71-80,w,Jack Russel Terrier,,2007,m,weiss/schwarz
51-60,m,Spitz,Mischling,2000,m,braun/weiss
51-60,w,Jack Russel Terrier,,2000,m,grau/braun
81-90,w,Cocker Spaniel,,2006,w,blauschimmel
71-80,w,Rauhaar Dackel,,1999,w,schwarz/braun
71-80,w,Mischling klein,,2014,w,schwarz
81-90,w,Golden Retriever,,2009,w,golden
51-60,w,Border Collie,,2008,w,schwarz/weiss
61-70,m,Dachshund,,2013,m,schwarz/rot
61-70,m,Golden Retriever,,2013,m,blondfarben
61-70,w,Zwergschnauzer,,2008,w,schwarz/grau
51-60,w,Berger Picard,,2010,w,fauve
61-70,w,West Highland White Terrier,,2002,w,weiss
61-70,w,Sennenhund,Mischling,2003,m,schwarz/weiss/braun
51-60,w,Berner Sennenhund,,2012,m,schwarz
41-50,w,Labrador Retriever,Mischling,2012,m,beige
71-80,w,Cairn Terrier,,2014,m,beige
71-80,m,Airedale Terrier,,2009,w,black/tan
41-50,w,Bolonka Zwetna,,2016,w,schwarz/weiss
41-50,w,Chihuahua,,2005,m,schwarz/weiss
71-80,m,Deutsche Dogge,,2013,m,schwarz/weiss
51-60,w,Mischling klein,,2003,w,weiss/braun
51-60,w,Mischling klein,,2003,w,braun
81-90,w,Pekingese,Mischling,2004,m,schwarz/braun
51-60,w,Mischling klein,,2010,w,schwarz
71-80,w,Mischling klein,,2010,m,braun
41-50,w,Sennenhund,Mischling,2008,w,tricolor
71-80,w,Chinese Crested Powderpuff,,2011,m,schwarz/weiss
51-60,w,Portugiesischer Wasserhund,,2007,w,schwarz
71-80,m,Yorkshire Terrier,,2013,m,schwarz/beige
41-50,m,Deutscher Pinscher,,2010,m,schwarz/rot
51-60,w,Collie,,2011,w,tricolor
51-60,w,Collie,,2011,w,tricolor
71-80,w,Altdeutscher Schäfer,,2016,w,schwarz
71-80,m,Pekingese,,2010,w,weiss/braun
71-80,m,Pekingese,,2008,w,braun/schwarz
81-90,m,Bolonka Zwetna,,2014,m,schwarz/braun
61-70,w,Beagle,,2006,m,tricolor
61-70,w,Jack Russel Terrier,Mischling,2008,w,weiss/braun
61-70,w,Mischling klein,,2007,m,gestromt
61-70,w,Mischling klein,,2009,w,braun
61-70,w,Mischling klein,,2007,w,hellbraun/weiss
61-70,w,Dachshund,Mischling,2012,m,schwarz/braun
61-70,w,Terrier,,2010,w,braun
61-70,m,Mischling klein,,2007,w,schwarz/weiss
61-70,m,Jack Russel Terrier,Mischling,2005,m,tricolor
81-90,w,Whippet,,2012,w,rot/braun
71-80,w,Chihuahua,,2015,w,weiss/schwarz
51-60,w,Shih Tzu,Mischling,2007,w,braun
81-90,w,Coton de Tulear,,2004,m,weiss
71-80,m,Rauhaar Dackel,,2008,m,rot
61-70,m,Labrador Retriever,,2014,w,schwarz
71-80,w,Zwergpudel,,2002,m,apricot
51-60,m,Münsterländer,,2003,m,weiss/braun
61-70,w,Mischling klein,,2001,w,weiss
51-60,w,Mittelpudel,,2006,w,schwarz/weiss
41-50,m,Mischling klein,,2013,m,schwarz/weiss
61-70,m,Kleiner Münsterländer,,2013,w,weiss/braun
61-70,m,Terrier,Mischling,2003,w,braun
71-80,w,Galgo Español,,2007,w,beige
71-80,w,Mischling klein,,2003,w,braun/weiss
71-80,w,Mischling klein,,2009,w,braun
51-60,w,Azawakh,,2008,w,rot
51-60,w,Chihuahua,,2010,m,wildfarbig
51-60,w,Chinese Crested,,2014,w,weiss/orange
31-40,m,Labrador Retriever,Mischling,2001,m,beige/weiss
61-70,w,Mischling klein,,2002,w,schwarz/weiss
61-70,w,Miniature Australien Shepard,,2010,m,tricolor
71-80,w,Mischling klein,,2007,w,weiss/schwarz
71-80,w,Zwergrauhaardackel,,2005,w,schwarz/braun
71-80,m,Beagle,,2009,w,tricolor
71-80,w,Labrador Retriever,,2010,m,schwarz
71-80,w,Labrador Retriever,,2015,m,gelb
61-70,w,West Highland White Terrier,,2009,m,weiss
